id,type,huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw
43,SW,156,8.38,167,6.02,59.3,6.89,112,7.73,66.32,6.91
44,SW,127.39,6.81,131,4.83,49.69,5.04,87.93,6.1,52.88,5.1
45,SW,108.84,6.98,116,4.51,48.81,5.31,87.72,7.11,47.46,4.93
46,SW,132,8.27,142,5.68,55.95,6.45,117.14,7.9,61.71,6.02
47,SW,177,9.21,193,7.48,58.5,7.02,90.71,6.69,55.77,8.79
48,SW,182,9.14,196,7.41,60.48,6.76,91,6.55,57.24,8.23
49,SW,150,8.05,167,6.66,52.98,5.9,78.22,5.62,46.05,7.97
50,SW,171,8.39,187,6.68,58.67,6.7,87.57,6.34,50.44,8.41
51,SW,161,8.22,181,6.72,49.83,5.36,69.04,5.18,37.31,7.44
52,SW,175,9.12,201,7.24,55.21,6.08,74.38,5.43,39.62,7.87
53,SW,22.63,2.48,27.24,2.03,21.04,2.02,37.69,1.82,21.91,1.72
54,SW,24.11,2.33,28.05,1.89,22.08,2.05,40.13,1.68,23.73,1.77
55,SW,28.98,2.74,36.37,2.29,28.41,2.49,50.89,2.19,32.07,2.03
56,SW,310,14.4,315,9.51,88.77,8.1,180,9.45,96.13,7.69
57,SW,250,11.91,252,8.31,73.04,7.37,160,8.47,82.46,7.04
58,SW,420,17.84,422,11.72,110.54,9.99,237,11.03,128.35,8.93
59,SW,250,11.28,247.5,7.5,69.04,6.2,156,7.19,83.36,6.13
60,SW,300,12.48,300,8.65,84.05,8.53,178,9.61,99.01,7.55
61,SW,23.67,1.92,20.75,1.82,16.16,1.68,45.36,1.58,31.63,1.83
62,SW,30.11,2.54,28.72,2.34,20.66,2.17,57.89,2.38,34.75,2.52
63,SW,36.5,2.46,34.42,2.25,17.8,1.59,42.5,1.48,25.53,1.31
64,SW,83.45,4.43,81.59,4,38.16,3.24,79.1,3.1,44.31,2.82
65,SW,86.23,4.53,83.31,3.7,38.9,3.16,83.26,3.64,46.04,2.76
66,SW,34.38,1.88,35.11,1.71,14.35,1.17,37.47,1.29,25.45,1.13
67,SW,32.47,1.94,31.74,1.78,14.37,1.23,33.29,1.17,20.79,1.09
68,SW,38.34,2.37,36.96,2.01,15.12,1.3,35.46,1.27,22.96,1.2
69,SW,41.21,2.5,43.1,2.43,18.2,1.44,44.69,1.58,30.82,1.36
70,SW,26.63,1.63,27.19,1.72,12.21,1.02,31.56,1.07,21.62,0.83
71,SW,26.81,1.66,26.48,1.51,12.54,0.97,31.55,1.01,21.17,0.88
72,SW,45.26,3.29,36.73,3.1,25.21,2.1,49.09,2.38,27.53,2.03
73,SW,43.45,3.2,34.19,3.22,23.83,2.18,48.1,2.09,26.24,1.92
74,SW,99.45,4.92,93.55,4.07,41.05,3.42,86.62,3.61,46.44,2.99
75,SW,106.94,5.72,104.57,4.37,44.99,3.62,93.84,4.13,51.17,3.33
76,SW,109.25,5.97,104.78,4.8,48.42,4.05,94.23,4.36,52.01,3.48
77,SW,107.25,6.13,105.17,4.81,45.45,4.34,92.31,4.53,48.26,3.22
78,SW,53.12,3,52.74,2.8,22.79,1.95,52.24,2.14,30.91,1.73
79,SW,54.19,3.16,54.28,3.21,23.08,1.98,53.7,2.04,31.29,1.56
80,SW,64.72,4.04,61.4,3.13,32.83,2.48,64.58,2.65,31.12,2.14
81,SW,69.12,4.35,65.47,3.65,36.4,2.81,67.5,2.63,33.16,2.23
82,SW,143,6.94,143.86,5.47,47.68,4.44,108.1,5.31,63.04,3.82
83,SW,154.3,7.46,154.66,6.09,51.08,5.27,112.75,5.36,65.16,4.07
84,SW,90.49,4.7,97.02,4.11,29.97,2.53,58.83,2.67,34.32,2.75
85,SW,89.59,5.11,98.02,4.46,29.96,2.55,58.09,2.79,34.4,2.94
86,SW,89,4.8,93.9,3.96,31.97,2.77,62.66,2.73,36.49,3.23
87,SW,89.48,4.76,92.4,4.09,28.69,2.58,57.8,2.69,31.94,2.66
88,SW,80.7,5.23,85.96,4.25,32.8,2.98,70.57,2.88,39.77,2.38
89,SW,80.97,5.25,86.64,3.99,32.47,2.76,70.28,3.04,39.08,2.38
90,SW,75.94,5.25,80.66,4.26,30.94,2.85,68.23,2.97,37.38,2.47
91,SW,107.84,4.02,70.21,3.29,26.52,1.97,52.41,2.56,30.71,1.9
92,SW,69.37,4.07,67.08,3.61,28.5,2.26,53.42,2.03,31.08,1.99
93,SW,102.8,5.82,106.74,4.71,70.72,3.05,70.74,3.09,40.27,3
94,SW,100.28,5.6,109.44,4.88,37.94,2.94,72.52,3.39,40.43,2.89
95,SW,72.17,3.94,74.39,3.56,24.29,1.83,50.64,2.32,28.4,2.2
96,SW,103.14,5.92,103.65,4.78,38.8,3.41,75.54,3.47,42.89,3.12
97,SW,107.41,5.69,110.5,5.32,40.62,3.15,81.86,3.71,44.62,2.95
98,SW,68.06,3.76,69.61,3.2,25.01,2.05,51.08,2.58,27.19,2
99,SW,65.71,3.81,68.64,3.36,24.55,1.97,48.94,1.94,28.1,2.25
100,SW,67.06,3.54,67.98,3.24,24.82,1.77,51.88,1.86,30.11,1.63
101,SW,67.59,3.73,68.55,3.19,24.46,1.89,50.06,2.36,27.21,1.77
102,SW,100.27,5.75,107.95,4.86,35.5,3.03,69.54,3.21,39.83,3.28
103,SW,68.5,3.77,71.15,3.34,24.86,1.95,51.44,2.1,30.13,2.37
104,SW,68.15,3.84,72.31,3.42,24.23,1.9,50.26,2.13,29.16,2.05
105,SW,107.76,4.71,110.21,4.12,36.15,3.11,76.18,3.77,49.61,3.35
